Evaluating: 2 1 2 1 1 4 2 0 3 
MWFT(norm) MWFT LB
35.1609 923.951 26.2778
36.7191 964.898 26.2778
30.4242 799.483 26.2778
34.3485 878.34 25.5714
34.3485 878.34 25.5714
32.7502 837.467 25.5714
29.3942 751.651 25.5714
34.6581 909.638 26.246
34.6581 909.638 26.246
37.2939 978.816 26.246
31.2409 819.949 26.246
33.441 841.938 25.1768
33.441 841.938 25.1768
41.5258 1045.49 25.1768
30.3482 764.071 25.1768
34.1239 875.629 25.6603
34.1239 875.629 25.6603
35.2165 903.664 25.6603
30.039 770.808 25.6603
33.1553 864.257 26.067
33.1553 864.257 26.067
32.931 858.412 26.067
29.416 766.787 26.067
34.2526 879.814 25.686
34.2526 879.814 25.686
43.2656 1111.32 25.686
31.944 820.514 25.686
33.8511 866.791 25.606
33.8511 866.791 25.606
38.338 981.682 25.606
29.8148 763.438 25.606
36.0603 911.904 25.2883
36.0603 911.904 25.2883
38.1498 964.744 25.2883
33.4571 846.074 25.2883
35.8606 868.804 24.2273
35.8606 868.804 24.2273
35.2366 853.688 24.2273
31.6172 765.999 24.2273
33.3273 893.209 26.8011
33.3273 893.209 26.8011
31.9788 857.067 26.8011
30.9875 830.499 26.8011
33.8865 857.534 25.3061
33.8865 857.534 25.3061
36.4312 921.932 25.3061
30.5385 772.81 25.3061
34.5441 858.707 24.8583
34.5441 858.707 24.8583
41.696 1036.49 24.8583
33.6614 836.763 24.8583
33.9477 845.025 24.892
33.9477 845.025 24.892
35.5426 884.726 24.892
30.2146 752.101 24.892
Evaluating: 4 1 2 1 1 4 2 0 2 
MWFT(norm) MWFT LB
39.9502 1007.01 25.2067
39.9502 1007.01 25.2067
37.401 942.755 25.2067
36.722 925.639 25.2067
38.8329 987.105 25.4193
38.8329 987.105 25.4193
41.7543 1061.36 25.4193
37.9405 964.42 25.4193
41.8592 1053.3 25.163
41.8592 1053.3 25.163
38.1855 960.86 25.163
38.6271 971.971 25.163
42.3295 1017.9 24.0471
42.3295 1017.9 24.0471
39.3527 946.317 24.0471
34.1328 820.793 24.0471
39.5351 972.698 24.6034
39.5351 972.698 24.6034
35.974 885.083 24.6034
36.1805 890.164 24.6034
41.6045 1108.23 26.6374
41.6045 1108.23 26.6374
36.5732 974.214 26.6374
34.4609 917.947 26.6374
38.0538 1005.15 26.4139
38.0538 1005.15 26.4139
36.0057 951.052 26.4139
34.3588 907.552 26.4139
40.8253 1058.11 25.918
40.8253 1058.11 25.918
38.1222 988.05 25.918
34.426 892.252 25.918
41.0995 1041.19 25.3335
41.0995 1041.19 25.3335
36.6399 928.218 25.3335
34.5024 874.068 25.3335
40.9927 1079.06 26.3233
40.9927 1079.06 26.3233
39.1118 1029.55 26.3233
37.0107 974.246 26.3233
40.8283 1051.76 25.7606
40.8283 1051.76 25.7606
38.9077 1002.29 25.7606
38.1568 982.943 25.7606
41.3814 1089.15 26.3199
41.3814 1089.15 26.3199
37.271 980.969 26.3199
34.9529 919.956 26.3199
41.9684 1071.53 25.5318
41.9684 1071.53 25.5318
38.434 981.289 25.5318
37.3737 954.219 25.5318
39.6779 1034.89 26.0824
39.6779 1034.89 26.0824
35.9946 938.824 26.0824
36.0829 941.127 26.0824
40.2866 1054.06 26.164
40.2866 1054.06 26.164
41.9271 1096.98 26.164
33.6788 881.171 26.164
41.0047 1036.39 25.2748
41.0047 1036.39 25.2748
35.713 902.64 25.2748
34.5812 874.033 25.2748
38.0248 987.562 25.9716
38.0248 987.562 25.9716
36.8094 955.998 25.9716
34.1639 887.288 25.9716
41.5089 1014.8 24.4478
41.5089 1014.8 24.4478
40.2217 983.33 24.4478
36.443 890.95 24.4478
43.5465 1114.61 25.5958
43.5465 1114.61 25.5958
41.016 1049.84 25.5958
37.0576 948.521 25.5958
41.3859 1083.91 26.1904
41.3859 1083.91 26.1904
44.8273 1174.04 26.1904
37.3043 977.014 26.1904
42.3638 1055.14 24.9067
42.3638 1055.14 24.9067
38.3363 954.831 24.9067
35.4529 883.015 24.9067
41.5614 1085.15 26.1096
41.5614 1085.15 26.1096
35.182 918.59 26.1096
35.3728 923.57 26.1096
40.6729 1116.52 27.4512
40.6729 1116.52 27.4512
39.1491 1074.69 27.4512
34.1568 937.644 27.4512
41.4297 1049.91 25.3421
41.4297 1049.91 25.3421
35.4557 898.52 25.3421
36.8506 933.87 25.3421
40.1908 1041.25 25.9076
40.1908 1041.25 25.9076
38.4515 996.185 25.9076
34.2919 888.419 25.9076
41.5844 1068.42 25.6929
41.5844 1068.42 25.6929
42.5147 1092.33 25.6929
39.4065 1012.47 25.6929
40.2313 1002.47 24.9176
40.2313 1002.47 24.9176
37.653 938.222 24.9176
34.987 871.792 24.9176
40.1522 1049.12 26.1287
40.1522 1049.12 26.1287
34.7889 908.99 26.1287
36.4939 953.537 26.1287
39.9242 1043.41 26.1349
39.9242 1043.41 26.1349
40.351 1054.57 26.1349
34.9962 914.622 26.1349
42.2774 1075.89 25.4484
42.2774 1075.89 25.4484
37.6397 957.871 25.4484
35.741 909.55 25.4484
41.7389 1087.33 26.0508
41.7389 1087.33 26.0508
37.1159 966.901 26.0508
37.5707 978.747 26.0508
42.5933 1117.45 26.2353
42.5933 1117.45 26.2353
35.2193 923.989 26.2353
35.9635 943.512 26.2353
40.4031 1042.62 25.8055
40.4031 1042.62 25.8055
37.2586 961.475 25.8055
34.7085 895.671 25.8055
41.1022 1040.32 25.3106
41.1022 1040.32 25.3106
39.327 995.391 25.3106
35.5372 899.468 25.3106
40.176 1018.71 25.3563
40.176 1018.71 25.3563
37.9466 962.185 25.3563
34.5989 877.299 25.3563
37.7006 956.408 25.3685
37.7006 956.408 25.3685
37.5132 951.653 25.3685
33.8436 858.56 25.3685
38.9095 1010.75 25.9769
38.9095 1010.75 25.9769
40.2935 1046.7 25.9769
33.3533 866.415 25.9769
38.5125 952.308 24.7273
38.5125 952.308 24.7273
40.9432 1012.41 24.7273
37.7255 932.848 24.7273
40.3469 1052.72 26.0917
40.3469 1052.72 26.0917
39.3347 1026.31 26.0917
36.8955 962.665 26.0917
39.0725 979.271 25.0629
39.0725 979.271 25.0629
36.1683 906.482 25.0629
35.3703 886.483 25.0629
42.785 1069.74 25.0026
42.785 1069.74 25.0026
34.9001 872.592 25.0026
36.9206 923.112 25.0026
42.8453 1077.24 25.1427
42.8453 1077.24 25.1427
41.8378 1051.91 25.1427
34.5097 867.666 25.1427
41.6335 1058.23 25.4177
41.6335 1058.23 25.4177
37.6154 956.096 25.4177
